"page_url","page_type_l1","page_type_l2","page_intent_l1","page_intent_l2","industry","page_topic","industry_normalized","page_topic_normalized","extracted_date"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Guide","Informational","Learn","Finance","High-Yield Savings Accounts","Finance and Banking","Savings",""
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Guide","Informational","Learn","Finance","How to Make Money with a Side Gig","Finance and Banking","Personal Finance",""
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Transactional","Tool","Transactional","Calculate","Finance","Mortgage Calculator","Finance and Banking","Real Estate",""
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Guide","Informational","Learn","Finance","How to Get Coupons","Finance and Banking","Personal Finance",""
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Transactional","Calculator","Transactional","Calculate","Finance","Auto Loan Calculator","Finance and Banking","Loans",""
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Guide","Informational","Learn","Finance","Federal Income Tax Brackets","Finance and Banking","Taxes",""
"https://www.nerdwallet.com/","Navigational","Homepage","Navigational","Find Location","Finance","Financial Product Comparisons","Finance and Banking","Personal Finance",""
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Guide","Informational","Learn","Finance","Capital Gains Tax Rates","Finance and Banking","Taxes",""
"https://www.nerdwallet.com/mortgages/mortgage-rates","Editorial","Guide","Informational","Learn","Finance","Mortgage Rates","Finance and Banking","Real Estate",""
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Guide","Informational","Learn","Finance","Average Car Loan Interest Rates by Credit Score","Finance and Banking","Loans",""
"https://www.nerdwallet.com/article/travel/google-flights-guide","Editorial","Guide","Informational","Learn","Finance","Google Flights Guide","Finance and Banking","Travel",""
"https://www.nerdwallet.com/calculator/how-much-house-can-i-afford","Transactional","Calculator","Transactional","Calculate","Finance","Home Affordability Calculator","Finance and Banking","Real Estate",""
"https://www.nerdwallet.com/p/best/finance/cheap-cell-phone-plans","Editorial","Guide","Informational","Compare","Finance","Cheap Cell Phone Plans","Finance and Banking","Personal Finance",""
"https://www.nerdwallet.com/calculator/compound-interest-calculator","Transactional","Calculator","Informational","Learn","Finance","Compound Interest Calculator","Finance and Banking","Investing",""
"https://www.nerdwallet.com/article/travel/best-days-book-flight-fly","Editorial","Guide","Informational","Learn","Finance","Best Days to Book Flights","Finance and Banking","Travel",""
"https://www.nerdwallet.com/article/finance/how-much-to-tip-nail-salon","Editorial","Guide","Informational","Learn","Finance","Tipping at Nail Salons","Finance and Banking","Personal Finance",""
