"page_url","page_type","page_intent","content_type","industry","page_topic","industry_normalized","page_topic_normalized","entities"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Informational","Listicle","Finance","High-Yield Savings Accounts","Finance","high_yield_savings_accounts","NerdWallet,SoFi Checking and Savings,American Express® High Yield Savings Account,CIT Bank Platinum Savings,Openbank High Yield Savings,Barclays Tiered Savings Account,Capital One 360 Performance Savings™,Axos ONE® Savings,Forbright Bank Growth Savings,UFB Portfolio Savings,Discover® Online Savings,Marcus by Goldman Sachs Online Savings Account,APY,FDIC,Margarette Burnette,Tony Armstrong"
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Informational","Blog post","Finance","Ways to Make Money","Finance","ways_to_make_money","NerdWallet,Upwork,Fiverr,Freelancer.com,UserTesting.com,Swagbucks,Survey Junkie,Etsy,Amazon Kindle Direct Publishing,YouTube,Google AdSense,Instagram,Twitch,Fine Art America,SmugMug,500px,PhotoShelter,Rover,Wag,CardCash,GiftCash,Airbnb,ThredUp,Poshmark,Swappa,Gazelle,Facebook Marketplace,Care.com,Sittercity,Getaround,Turo,TaskRabbit,Tutor.com,Lyft,Uber,Instacart,Uber Eats,Postmates,DoorDash,Amazon Flex,HouseSitter.com,IntelliShop,BestMark,Sinclair Customer Metrics"
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Editorial","Informational","Calculator","Finance","Mortgage Calculator","Finance","mortgage_calculator","NerdWallet,mortgage,interest rate,loan term,property taxes,homeowners insurance,HOA fees,private mortgage insurance,amortization,loan estimate,monthly payment,principal,interest,lender,credit score,down payment"
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Informational","Blog post","Finance","Coupons and Discount Codes","Finance","coupons_and_discount_codes","NerdWallet,Lauren Schwahn,Pamela de la Fuente,Cindy Livesey,Aldi,Amazon,Subscribe and Save"
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Editorial","Informational","Calculator","Finance","Auto Loan Calculator","Finance","auto_loan_calculator","NerdWallet,auto loan,car loan,interest rate,loan term,monthly payment,credit score,down payment,trade-in value,sales tax,amortization schedule,refinance,lease buyout,Experian,VantageScore"
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Informational","Article","Finance","Federal Income Tax Brackets","Finance","federal_income_tax_brackets","NerdWallet,Federal Income Tax,Tax Brackets,Tax Rates,Tax Cuts and Jobs Act,IRS,Single Filer,Married Filing Jointly,Married Filing Separately,Head of Household,Tax Calculator,Tax Credits,Tax Deductions,Marginal Tax Rate,Effective Tax Rate,Taxable Income,Inflation Adjustments"
"https://www.nerdwallet.com/","Homepage","Informational","Web portal","Finance","Personal Finance and Financial Products","Finance","personal_finance_and_financial_products","Credit cards,Banking,Home,Loans,Insurance,Personal finance,Investing,Small business,Taxes,NerdWallet"
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Informational","Article","Finance","Capital Gains Tax","Finance","capital_gains_tax","Capital gains,Short-term capital gains,Long-term capital gains,Tax rates,Net investment income tax,Collectible assets,IRS,Tax brackets,Tax software,Tax-loss harvesting,Robo-advisors,401(k),IRA,529 college savings accounts,Roth IRAs,Dividends,Home sales exclusion"
"https://www.nerdwallet.com/mortgages/mortgage-rates","Editorial","Informational","Webpage","Finance","Mortgage Rates","Finance","mortgage_rates","NerdWallet,mortgage,APR,FHA,VA,ARM,Zillow,Federal Reserve,credit score,down payment,loan type,Federal Open Market Committee,interest rate,loan-to-value ratio,home equity,refinance,lender,home loan,credit report,TransUnion,Evolve Bank & Trust,MasterCard International Inc.,Atomic Invest LLC,Atomic Brokerage LLC,FINRA,SIPC,NerdUp by NerdWallet Credit Card"
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Informational","Article","Finance","Car Loan Interest Rates","Finance","car_loan_interest_rates","NerdWallet,Experian,VantageScore,Federal Reserve,Cox Automotive,Dealertrack,Edmunds.com,Shannon Bradley,Julie Myhre-Nunes"
"https://www.nerdwallet.com/article/travel/google-flights-guide","Editorial","Informational","Guide","Finance","Google Flights","Finance","google_flights","Google Flights,NerdWallet,Carissa Rawson,Chris Burkhardt,SkyTeam,Star Alliance,Southwest Airlines,Delta SkyMiles,American Express,Alaska Airlines,United Airlines,Chase,Capital One,Citi,Travel credit cards,Airline miles,Points and miles"
