"page_url","page_type_l1","page_type_l2","page_intent_l1","page_intent_l2","industry","page_topic","industry_normalized","page_topic_normalized","extracted_date"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Guide","Informational","Learn","Finance","High-Yield Savings Accounts","Finance","Savings",""
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Guide","Informational","Learn","Finance","How to Make Money with a Side Gig","Finance","Personal Finance",""
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Transactional","Tool","Informational","Calculate","Finance","Mortgage Calculator","Finance","Loans",""
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Guide","Informational","Learn","Finance","How to Get Coupons","Finance","Personal Finance",""
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Transactional","Calculator","Transactional","Calculate","Finance","Auto Loan Calculator","Finance","Loans",""
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Guide","Informational","Learn","Finance","Federal Income Tax Brackets","Finance","Taxes",""
"https://www.nerdwallet.com/","Navigational","Homepage","Navigational","Find Location","Finance","Financial Product Comparisons","Finance","Financial Products",""
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Guide","Informational","Learn","Finance","Capital Gains Tax Rates","Finance","Taxes",""
"https://www.nerdwallet.com/mortgages/mortgage-rates","Editorial","Guide","Informational","Learn","Finance","Mortgage Rates","Finance","Loans",""
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Guide","Informational","Learn","Finance","Average Car Loan Interest Rates by Credit Score","Finance","Loans",""
"https://www.nerdwallet.com/article/travel/google-flights-guide","Editorial","Guide","Informational","Learn","Travel","Google Flights Guide","Travel","Flight Booking",""
"https://www.nerdwallet.com/calculator/how-much-house-can-i-afford","Transactional","Calculator","Informational","Learn","Finance","Home Affordability Calculator","Finance","Loans",""
"https://www.nerdwallet.com/p/best/finance/cheap-cell-phone-plans","Editorial","Guide","Informational","Compare","Finance","Cheap Cell Phone Plans","Finance","Personal Finance",""
"https://www.nerdwallet.com/calculator/compound-interest-calculator","Transactional","Calculator","Informational","Learn","Finance","Compound Interest Calculator","Finance","Investments",""
"https://www.nerdwallet.com/article/travel/best-days-book-flight-fly","Editorial","Guide","Informational","Learn","Travel","Best Days to Book Flights","Travel","Flight Booking",""
"https://www.nerdwallet.com/article/finance/how-much-to-tip-nail-salon","Editorial","Guide","Informational","Learn","Finance","Tipping at Nail Salons","Finance","Personal Finance",""
"https://www.nerdwallet.com/the-best-credit-cards","Editorial","Guide","Informational","Compare","Finance","Best Credit Cards","Finance","Credit Cards",""
