"page_url","page_type","page_intent","content_type","domain_industry","page_topic","domain_industry_normalized","page_topic_normalized","entities"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Informational","Blog post","Finance","High-Yield Savings Accounts","Financial Services","High-Yield Savings Accounts","NerdWallet,high-yield savings accounts,APY,SoFi,American Express,CIT Bank,Openbank,Barclays,Capital One,Axos Bank,Forbright Bank,UFB Direct,Discover,Marcus by Goldman Sachs,Federal Reserve,FDIC"
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Informational","Blog post","Finance","Ways to make money","Personal Finance","Making Money","NerdWallet,Tommy Tindall,Courtney Neidel,Amanda Barroso,Upwork,Fiverr,Freelancer.com,Gengo,Blend Express,UserTesting.com,PwC,Swagbucks,Survey Junkie,Pinterest,CJ,ShareASale,FlexOffers,Rakuten Advertising,Amazon Associates,Etsy,Kindle Direct Publishing,Google AdSense,YouTube,Instagram,Twitch,Fine Art America,SmugMug,500px,PhotoShelter,Rover,Wag,CardCash,GiftCash,Airbnb,ThredUp,Poshmark,Swappa,Gazelle,Facebook Marketplace,Amazon,eBay,ecoATM,Care.com,Sittercity,Getaround,Turo,TaskRabbit,Tutor.com,Uber,Lyft,Instacart,Uber Eats,Postmates,DoorDash,Amazon Flex,HouseSitter.com,IntelliShop,BestMark,Sinclair Customer Metrics,Federal Aviation Administration"
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Commercial","Informational","Tool","Finance","Mortgage Calculation","Financial Services","Mortgage Calculator","Loan details,Home price,Down payment,Interest rate,Loan term,Property taxes,Homeowners insurance,HOA fees,Mortgage lenders,NBKC,New American Funding,GO Mortgage,Rocket Mortgage,Veterans United,First Federal Bank,Figure,Bethpage Federal Credit Union,Rate,Mortgage calculator,Amortization schedule,Principal,Interest,Monthly mortgage payment,Payoff date,Private mortgage insurance"
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Informational","Blog post","Personal Finance","Couponing and Money-Saving Strategies","Finance","Couponing","NerdWallet,Lauren Schwahn,Pamela de la Fuente,Cindy Livesey,Living Rich With Coupons,Aldi,Amazon,Subscribe and Save,Catalina coupons"
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Commercial","Informational","Calculator","Finance","Auto Loan Calculation","Financial Services","Auto Loan Calculator","auto loan,vehicle price,down payment,interest rate,loan term,trade-in value,sales tax,title fees,monthly payment,loan amount,interest cost,payoff date,amortization schedule,credit score,APR,LightStream,MyAutoloan,Auto Credit Express,car loan,refinance,lease buyout,NerdWallet"
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Informational","Article","Finance","Federal Income Tax Brackets","Finance","Federal Income Tax Brackets","Tax Cuts and Jobs Act,IRS,Sabrina Parys,Lei Han,Pamela de la Fuente,Tina Orem,NerdWallet,TurboTax,Colorado,Wyoming"
"https://www.nerdwallet.com/","Error","Error","Error","","","","",""
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Informational","Article","Finance","Capital Gains Tax","Finance","Capital Gains Tax","capital gains,capital assets,stocks,bonds,cryptocurrency,real estate,capital gain,capital loss,net profit,taxable income,filing status,short-term capital gains,long-term capital gains,net investment income tax,collectible assets,tax software,401(k),IRA,Roth IRA,529 college savings accounts,tax-loss harvesting,robo-advisor"
"https://www.nerdwallet.com/mortgages/mortgage-rates","Editorial","Informational","Blog post","Finance","Mortgage Rates","Financial Services","Mortgage Interest Rates","NerdWallet,Zillow,APR,30-year fixed-rate mortgage,15-year fixed-rate mortgage,5-year adjustable-rate mortgage,Federal Reserve,Kate Wood,Michelle Blackford,Farmers Bank of Kansas City,Better,Next Door Lending LLC,Simplist,First Federal Bank,Central Bank,NBKC,New American Funding,HSBC Bank,Bethpage Federal Credit Union,Rocket Mortgage, LLC"
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Informational","Blog post","Finance","Car Loan Interest Rates","Financial Services","Auto Loans","NerdWallet,Shannon Bradley,Julie Myhre-Nunes,Experian,VantageScore,Federal Reserve,Edmunds.com,Cox Automotive,Dealertrack,LightStream,MyAutoloan,Auto Credit Express"
"https://www.nerdwallet.com/article/travel/google-flights-guide","Editorial","Informational","Blog post","Finance","Google Flights Guide","Finance","Travel Guide","Google Flights,NerdWallet,Carissa Rawson,Chris Burkhardt,Orlando,New York,Priority Pass,Star Alliance,SkyTeam,Southwest Airlines,Delta Sky Club,Delta SkyMiles,American Express,Alaska Airlines,United Airlines,Chase,Southwest Rapid Rewards,Capital One,Citi,Chase Sapphire Preferred,Wells Fargo,Ink Business Preferred"
